452,1210,4.0,1013394824
38,21,3.0,841341362
177,6157,3.0,1435524857
288,273,2.0,976124938
140,5699,4.0,1058312977
306,136016,4.5,1518381248
469,3462,4.0,965336955
17,150,3.5,1305696497
380,3717,3.0,1494613014
561,122904,2.0,1491095067
7,5952,4.5,1106636527
177,50,4.0,1435523529
480,8984,3.0,1179165385
62,4973,4.5,1521488600
542,8961,3.0,1163386738
368,170,2.0,971277279
111,157296,4.5,1516151381
10,7149,4.0,1455399533
219,1210,4.0,1194686138
427,5014,3.5,1053071029
313,4180,5.0,1030556287
504,3556,4.0,1072066341
269,79,4.0,850865553
66,3254,3.5,1113188411
27,2944,4.0,965149533
232,8908,3.5,1182910411
339,2858,5.0,1460519017
434,2395,3.5,1270605047
525,81591,4.0,1476476648
318,5989,4.0,1254132905
328,2788,5.0,1494210627
391,2094,2.0,1032647761
232,8984,3.0,1182909472
589,337,5.0,856043369
202,1291,4.0,974918563
414,4280,4.0,991144327
316,2054,2.0,1111493111
599,778,3.5,1498501560
387,1252,5.0,1094876323
426,7361,3.5,1451080832
115,2617,4.0,944958662
202,1199,4.0,974925048
342,3617,3.0,1042822202
232,1544,3.5,1218165603
460,4995,5.0,1359177630
559,786,4.0,865095875
135,2088,3.0,1009693406
414,6280,2.0,1089043960
83,68954,4.5,1332840492
79,1242,5.0,975281904
610,142598,4.0,1493848878
517,1,4.0,1487954343
483,2628,3.0,1327276826
610,103141,3.5,1493846613
305,8810,4.5,1519494384
156,6711,4.5,1106882017
565,367,3.0,846533338
307,54503,4.0,1197407428
280,88810,4.5,1350193811
599,2116,2.0,1519177403
379,208,3.0,847397381
570,1200,4.0,1181555711
307,94,3.5,1186086089
448,49649,1.0,1192302220
45,3082,4.0,950718627
469,2186,5.0,965335217
119,4015,4.0,1435944618
93,2628,5.0,942946013
387,3527,3.5,1095040790
606,6890,4.0,1171821893
387,1380,1.5,1095040734
132,520,1.5,1157967999
510,1882,0.5,1141159305
132,27721,3.0,1329983565
111,140715,4.5,1518640686
599,172,2.0,1498510855
476,362,5.0,835022003
525,3793,3.0,1476480835
393,4848,3.0,1430507512
4,1733,5.0,945079143
105,60684,3.5,1446573571
287,5952,4.0,1110229889
226,1007,3.5,1096421279
381,6711,3.0,1166979188
435,63082,5.0,1366678019
563,68135,2.5,1449288397
600,2012,4.5,1237711758
246,3910,2.0,1354126455
560,8910,3.5,1469650843
564,6155,3.0,1478451840
452,3753,5.0,1013395810
524,1291,5.0,851609392
411,235,3.0,835532398
202,3441,1.0,974924565
448,133419,3.0,1460403925
236,1387,5.0,943013896
587,2406,4.0,953139030
448,61289,2.5,1309461632
380,1909,4.0,1493667724
21,104841,4.0,1403460671
67,5628,4.0,1501273685
91,95,3.0,1112711260
10,51705,4.5,1455359663
91,5988,3.0,1112717772
492,260,4.0,863976004
434,3052,4.5,1270606930
294,710,2.0,966597129
72,1210,4.5,1217324808
474,6909,4.0,1098104416
239,8132,5.0,1221159513
31,588,5.0,850467365
202,1280,4.0,974926010
474,1068,3.5,1106231071
212,86644,3.0,1523217110
160,435,1.0,971114584
326,69481,3.5,1419881507
20,6358,3.5,1054147505
438,1513,1.5,1105667295
453,1676,1.0,1005967944
24,45672,3.0,1458944130
474,1663,3.0,1004131709
21,73017,2.5,1419795394
600,2541,1.0,1237759262
372,647,2.0,874416808
57,457,5.0,965796698
304,1101,4.0,891173581
426,3969,2.5,1451081419
560,31123,2.5,1469675558
474,317,2.0,1046886834
489,364,4.0,1333101330
354,1676,4.5,1200941446
408,94864,2.0,1467371826
295,318,5.0,1320064839
527,595,5.0,1033174224
354,1219,4.0,1200952862
410,527,4.0,990727918
19,2788,2.0,965705822
227,593,4.5,1447189848
552,3108,3.5,1112151424
122,7438,5.0,1461561437
381,45186,3.0,1164383055
488,1957,3.0,1112382417
133,539,3.0,843491579
60,362,4.0,1393541920
473,2485,2.5,1169351193
275,162,5.0,1049078271
562,3949,5.0,1368894021
188,1282,5.0,962560181
438,34048,2.0,1120569775
